"visit_date","utm_source","utm_medium","utm_campaign","visitors_count","total_cost","leads_count","purchase_count","revenue"
"2023-06-10",vk,cpp,base-frontend,1,,0,0,
"2023-06-10",vk,social,all-courses,2,,0,0,
"2023-06-10",vk,social,hexlet-blog,1,,0,0,
"2023-06-11",vk,cpc,java,1,,0,0,
"2023-06-11",vk,cpc,base-python,115,,0,0,
"2023-06-11",vk,cpc,prof-python,186,944136,0,0,
"2023-06-11",vk,cpc,prof-frontend,123,671334,0,0,
"2023-06-11",vk,cpc,prof-data-analytics,141,644229,0,0,
"2023-06-11",vk,cpc,prof-java,147,555807,0,0,
"2023-06-11",vk,cpc,freemium-frontend,211,534463,0,0,
"2023-06-11",vk,cpc,freemium-java,126,367416,0,0,
"2023-06-11",vk,cpc,freemium-python,112,284032,0,0,
"2023-06-11",vk,cpm,prof-frontend,4,,0,0,
"2023-06-11",vk,cpm,prof-data-analytics,14,,0,0,
"2023-06-11",vk,cpp,dod-frontend,6,,0,0,
"2023-06-11",vk,cpp,base-frontend,1,,0,0,
"2023-06-11",vk,social,base-python,2,,0,0,
"2023-06-11",vk,social,general,2,,0,0,
"2023-06-11",vk,social,hexlet-blog,2,,0,0,
"2023-06-11",vk,social,all-courses,2,,0,0,
"2023-06-12",vk,cpc,base-python,123,,0,0,
"2023-06-12",vk,cpc,prof-python,196,1019592,0,0,
"2023-06-12",vk,cpc,prof-java,170,697850,0,0,
"2023-06-12",vk,cpc,prof-data-analytics,161,674107,0,0,
"2023-06-12",vk,cpc,freemium-java,132,636504,0,0,
"2023-06-12",vk,cpc,freemium-frontend,184,583280,0,0,
"2023-06-12",vk,cpc,prof-frontend,113,573814,0,0,
"2023-06-12",vk,cpc,freemium-python,121,306856,0,0,
"2023-06-12",vk,cpm,prof-data-analytics,14,,0,0,
"2023-06-12",vk,cpm,base_python,1,,0,0,
"2023-06-12",vk,cpm,prof-frontend,6,,0,0,
"2023-06-12",vk,cpp,base-frontend,4,,0,0,
"2023-06-12",vk,cpp,dod-frontend,2,,0,0,
"2023-06-12",vk,cpp,intensive-python,1,,0,0,
"2023-06-12",vk,social,promo,1,,0,0,
"2023-06-12",vk,social,base-java,1,,0,0,
"2023-06-12",vk,social,base-python,1,,0,0,
"2023-06-12",vk,social,general,1,,0,0,
"2023-06-12",vk,social,hexlet-blog,2,,0,0,
"2023-06-12",vk,social,prof-python,1,,0,0,
"2023-06-12",vk,social,prof-rails,3,,0,0,
"2023-06-13",vk,cpc,base-python,41,,0,0,
"2023-06-13",vk,cpc,dod-professions,1,,0,0,
"2023-06-13",vk,cpc,base,1,,0,0,
"2023-06-13",vk,cpc,prof-python,67,348534,0,0,
"2023-06-13",vk,cpc,prof-data-analytics,49,205212,0,0,
"2023-06-13",vk,cpc,prof-java,47,204450,1,0,
"2023-06-13",vk,cpc,prof-frontend,37,201983,0,0,
"2023-06-13",vk,cpc,freemium-frontend,62,170252,1,0,
"2023-06-13",vk,cpc,freemium-java,57,135489,0,0,
"2023-06-13",vk,cpc,freemium-python,52,131976,0,0,
"2023-06-13",vk,cpm,prof-frontend,1,,0,0,
"2023-06-13",vk,cpm,prof-data-analytics,4,,0,0,
"2023-06-13",vk,cpp,base-frontend,1,,0,0,
"2023-06-13",vk,cpp,dod-frontend,2,,0,0,
"2023-06-13",vk,cpp,dod-php,1,,0,0,
"2023-06-13",vk,cpp,intensive-python,1,,0,0,
"2023-06-13",vk,social,prof-rails,1,,0,0,
"2023-06-13",vk,social,all-courses,1,,0,0,
"2023-06-13",vk,social,base-frontend,2,,0,0,
"2023-06-13",vk,social,base-python,2,,0,0,
"2023-06-13",vk,social,english-soft,1,,0,0,
"2023-06-13",vk,social,general,1,,0,0,
"2023-06-13",vk,social,hexlet-blog,2,,0,0,
"2023-06-13",vk,social,hexlet.io/my,1,,0,0,
"2023-06-13",yandex,cpc,dod-python-java,9,,0,0,
"2023-06-13",yandex,cpc,base-java,41,,0,0,
"2023-06-13",yandex,cpc,base-python,35,,0,0,
"2023-06-13",yandex,cpc,dod-qa,2,,0,0,
"2023-06-13",yandex,cpc,dod-java,4,,0,0,
"2023-06-13",yandex,cpc,dod-php,3,,0,0,
"2023-06-13",yandex,cpc,prof-frontend,105,6581925,0,0,
"2023-06-13",yandex,cpc,prof-python,104,4497064,0,0,
"2023-06-13",yandex,cpc,prof-java,83,3031160,0,0,
"2023-06-13",yandex,cpc,freemium,138,2556174,0,0,
"2023-06-13",yandex,cpc,base-frontend,29,296728,0,0,
"2023-06-13",yandex,cpc,prof-professions-brand,33,117942,0,0,
"2023-06-13",yandex,cpc,prof-data-analytics,17,102561,0,0,
"2023-06-13",yandex,cpc,dod-professions,12,46860,0,0,
"2023-06-13",yandex,cpc,dod-frontend,10,41230,0,0,
"2023-06-13",yandex,cpc,prof-professions-retarget,18,10872,0,0,
"2023-06-13",yandex,cpc,base-professions-retarget,5,4040,0,0,
"2023-06-14",vk,cpc,prof-data-analytics,10,41890,0,0,
"2023-06-14",vk,cpc,prof-frontend,5,25385,0,0,
"2023-06-14",vk,cpc,prof-python,5,25370,0,0,
"2023-06-14",vk,cpc,freemium-python,8,23160,0,0,
"2023-06-14",vk,cpc,prof-java,5,20560,0,0,
"2023-06-14",vk,cpc,freemium-frontend,8,19832,0,0,
"2023-06-14",vk,cpp,dod-frontend,7,,0,0,
"2023-06-14",vk,social,prof-python,2,,0,0,
"2023-06-14",vk,social,all-courses,1,,0,0,
"2023-06-14",vk,social,base-python,3,,0,0,
"2023-06-14",vk,social,dod-frontend,1,,0,0,
"2023-06-14",vk,social,dod-professions,4,,0,0,
"2023-06-14",vk,social,general,1,,0,0,
"2023-06-14",vk,social,hexlet-blog,2,,0,0,
"2023-06-14",yandex,cpc,base-frontend,42,,0,0,
"2023-06-14",yandex,cpc,base-java,57,,0,0,
"2023-06-14",yandex,cpc,base-python,53,,0,0,
"2023-06-14",yandex,cpc,dod-java,12,,0,0,
"2023-06-14",yandex,cpc,dod-php,8,,0,0,
"2023-06-14",yandex,cpc,dod-qa,7,,0,0,
"2023-06-14",yandex,cpc,prof-frontend,165,11652960,0,0,
"2023-06-14",yandex,cpc,prof-python,170,7100220,0,0,
"2023-06-14",yandex,cpc,prof-java,163,6055613,0,0,
"2023-06-14",yandex,cpc,freemium,215,4031680,0,0,
"2023-06-14",yandex,cpc,prof-data-analytics,32,283328,0,0,
"2023-06-14",yandex,cpc,prof-professions-brand,49,175420,0,0,
"2023-06-14",yandex,cpc,prof-professions-retarget,27,18738,0,0,
"2023-06-14",yandex,cpc,dod-professions,12,17652,0,0,
"2023-06-14",yandex,cpc,dod-frontend,15,14760,0,0,
"2023-06-14",yandex,cpc,dod-python-java,7,6363,0,0,
"2023-06-14",yandex,cpc,base-professions-retarget,8,5776,0,0,
"2023-06-15",vk,cpc,yaintern,1,,0,0,
"2023-06-15",vk,cpc,prof-data-analytics,9,41076,0,0,
"2023-06-15",vk,cpc,prof-java,6,25584,0,0,
"2023-06-15",vk,cpc,prof-frontend,5,23440,1,0,
"2023-06-15",vk,cpc,freemium-python,9,22824,0,0,
"2023-06-15",vk,cpc,freemium-frontend,7,17738,0,0,
"2023-06-15",vk,cpc,prof-python,3,17511,0,0,
"2023-06-15",vk,cpc,freemium-java,6,15228,0,0,
"2023-06-15",vk,cpp,base-frontend,2,,0,0,
"2023-06-15",vk,cpp,dod-frontend,3,,0,0,
"2023-06-15",vk,social,all-courses,3,,0,0,
"2023-06-15",vk,social,base-python,1,,0,0,
"2023-06-15",vk,social,dod-professions,1,,0,0,
"2023-06-15",vk,social,hexlet-blog,3,,0,0,
"2023-06-15",yandex,cpc,dod-php,6,,0,0,
"2023-06-15",yandex,cpc,base-frontend,38,,0,0,
"2023-06-15",yandex,cpc,base-java,61,,0,0,
"2023-06-15",yandex,cpc,base-professions-retarget,8,,0,0,
"2023-06-15",yandex,cpc,base-python,49,,0,0,
"2023-06-15",yandex,cpc,dod-java,8,,0,0,
"2023-06-15",yandex,cpc,dod-qa,7,,0,0,
"2023-06-15",yandex,cpc,prof-frontend,164,11344044,0,0,
"2023-06-15",yandex,cpc,prof-python,156,6549192,0,0,
"2023-06-15",yandex,cpc,prof-java,130,4537260,0,0,
"2023-06-15",yandex,cpc,freemium,238,3645446,0,0,
"2023-06-15",yandex,cpc,prof-professions-brand,49,270039,0,0,
"2023-06-15",yandex,cpc,prof-data-analytics,28,183568,0,0,
"2023-06-15",yandex,cpc,dod-professions,17,66725,0,0,
"2023-06-15",yandex,cpc,dod-python-java,10,45540,0,0,
"2023-06-15",yandex,cpc,prof-professions-retarget,27,34830,0,0,
"2023-06-15",yandex,cpc,dod-frontend,20,18160,0,0,
"2023-06-16",vk,cpc,yaintern,1,,0,0,
"2023-06-16",vk,cpc,prof-php,1,,0,0,
"2023-06-16",vk,cpc,php,2,,0,0,
"2023-06-16",vk,cpc,prof-python,13,75894,0,0,
"2023-06-16",vk,cpc,prof-data-analytics,13,59722,0,0,
"2023-06-16",vk,cpc,prof-frontend,8,43664,1,0,
"2023-06-16",vk,cpc,prof-java,9,39843,1,0,
"2023-06-16",vk,cpc,freemium-java,7,16786,0,0,
"2023-06-16",vk,cpc,freemium-python,5,12685,0,0,
"2023-06-16",vk,cpc,freemium-frontend,4,10140,0,0,
"2023-06-16",vk,cpm,base,1,,0,0,
"2023-06-16",vk,cpp,dod-frontend,1,,0,0,
"2023-06-16",vk,social,general,1,,0,0,
"2023-06-16",vk,social,prof-python,2,,0,0,
"2023-06-16",vk,social,all-courses,1,,0,0,
"2023-06-16",vk,social,base-frontend,1,,0,0,
"2023-06-16",vk,social,base-python,3,,0,0,
"2023-06-16",vk,social,dod-frontend,1,,0,0,
"2023-06-16",vk,social,dod-professions,2,,0,0,
"2023-06-16",yandex,cpc,dod-frontend,22,,0,0,
"2023-06-16",yandex,cpc,base-frontend,44,,0,0,
"2023-06-16",yandex,cpc,base-java,59,,0,0,
"2023-06-16",yandex,cpc,base-professions-retarget,10,,0,0,
"2023-06-16",yandex,cpc,base-python,51,,0,0,
"2023-06-16",yandex,cpc,dod-java,12,,0,0,
"2023-06-16",yandex,cpc,dod-php,6,,0,0,
"2023-06-16",yandex,cpc,dod-qa,5,,0,0,
"2023-06-16",yandex,cpc,prof-frontend,137,8074095,0,0,
"2023-06-16",yandex,cpc,prof-python,168,6588120,0,0,
"2023-06-16",yandex,cpc,freemium,233,4173729,0,0,
"2023-06-16",yandex,cpc,prof-java,112,4083408,0,0,
"2023-06-16",yandex,cpc,prof-professions-brand,48,278112,0,0,
"2023-06-16",yandex,cpc,prof-data-analytics,39,217464,0,0,
"2023-06-16",yandex,cpc,dod-professions,15,46155,0,0,
"2023-06-16",yandex,cpc,prof-professions-retarget,35,37975,0,0,
"2023-06-16",yandex,cpc,dod-python-java,5,16295,0,0,
"2023-06-17",vk,cpc,frontend,2,,0,0,
"2023-06-17",vk,cpc,prof-qa,1,,0,0,
"2023-06-17",vk,cpc,prof-python,8,58896,0,0,
"2023-06-17",vk,cpc,prof-frontend,7,34818,0,0,
"2023-06-17",vk,cpc,prof-data-analytics,5,26635,0,0,
"2023-06-17",vk,cpc,prof-java,6,24744,0,0,
"2023-06-17",vk,cpc,freemium-python,4,10148,0,0,
"2023-06-17",vk,cpc,freemium-frontend,4,10144,0,0,
"2023-06-17",vk,cpc,freemium-java,5,7610,0,0,
"2023-06-17",vk,cpm,base,1,,0,0,
"2023-06-17",vk,cpp,base-frontend,1,,0,0,
"2023-06-17",vk,social,dod-professions,5,,0,0,
"2023-06-17",vk,social,general,2,,0,0,
"2023-06-17",vk,social,prof-data-analytics,1,,0,0,
"2023-06-17",vk,social,promo,1,,0,0,
"2023-06-17",yandex,cpc,dod-php,11,,0,0,
"2023-06-17",yandex,cpc,base-frontend,39,,0,0,
"2023-06-17",yandex,cpc,base-java,43,,0,0,
"2023-06-17",yandex,cpc,base-professions-retarget,8,,0,0,
"2023-06-17",yandex,cpc,base-python,63,,0,0,
"2023-06-17",yandex,cpc,dod-frontend,13,,0,0,
"2023-06-17",yandex,cpc,dod-java,6,,0,0,
"2023-06-17",yandex,cpc,dod-qa,11,,0,0,
"2023-06-17",yandex,cpc,prof-frontend,132,7902972,0,0,
"2023-06-17",yandex,cpc,prof-python,174,7854186,0,0,
"2023-06-17",yandex,cpc,prof-java,131,3603810,0,0,
"2023-06-17",yandex,cpc,freemium,200,2882600,0,0,
"2023-06-17",yandex,cpc,prof-data-analytics,34,260542,0,0,
"2023-06-17",yandex,cpc,prof-professions-brand,58,224924,0,0,
"2023-06-17",yandex,cpc,dod-professions,25,119250,0,0,
"2023-06-17",yandex,cpc,prof-professions-retarget,22,24266,0,0,
"2023-06-17",yandex,cpc,dod-python-java,9,19242,0,0,
"2023-06-18",vk,cpc,prof-data-analytics,9,32211,0,0,
"2023-06-18",vk,cpc,prof-java,6,27978,0,0,
"2023-06-18",vk,cpc,prof-python,4,18364,0,0,
"2023-06-18",vk,cpc,freemium-python,6,15216,0,0,
"2023-06-18",vk,cpc,freemium-frontend,5,12675,0,0,
"2023-06-18",vk,cpc,prof-frontend,2,5824,0,0,
"2023-06-18",vk,cpp,base-frontend,1,,0,0,
"2023-06-18",vk,social,prof-python,1,,0,0,
"2023-06-18",vk,social,all-courses,1,,0,0,
"2023-06-18",vk,social,dod-professions,4,,0,0,
"2023-06-18",yandex,cpc,base-java,61,,0,0,
"2023-06-18",yandex,cpc,base-frontend,27,,0,0,
"2023-06-18",yandex,cpc,base-professions-retarget,9,,0,0,
"2023-06-18",yandex,cpc,base-python,43,,0,0,
"2023-06-18",yandex,cpc,dod-frontend,21,,0,0,
"2023-06-18",yandex,cpc,dod-java,8,,0,0,
"2023-06-18",yandex,cpc,dod-php,11,,0,0,
"2023-06-18",yandex,cpc,dod-qa,4,,0,0,
"2023-06-18",yandex,cpc,prof-frontend,149,7570094,0,0,
"2023-06-18",yandex,cpc,prof-python,163,6394979,0,0,
"2023-06-18",yandex,cpc,freemium,219,3678762,0,0,
"2023-06-18",yandex,cpc,prof-java,111,3175155,0,0,
"2023-06-18",yandex,cpc,prof-data-analytics,27,174042,0,0,
"2023-06-18",yandex,cpc,prof-professions-brand,51,168300,0,0,
"2023-06-18",yandex,cpc,dod-professions,14,104132,0,0,
"2023-06-18",yandex,cpc,prof-professions-retarget,25,37275,0,0,
"2023-06-18",yandex,cpc,dod-python-java,8,26992,0,0,
"2023-06-19",vk,cpc,prof-python,15,74010,0,0,
"2023-06-19",vk,cpc,prof-java,10,54690,0,0,
"2023-06-19",vk,cpc,prof-frontend,9,45702,0,0,
"2023-06-19",vk,cpc,prof-data-analytics,8,42608,0,0,
"2023-06-19",vk,cpc,freemium-python,8,19832,0,0,
"2023-06-19",vk,cpc,freemium-java,3,7269,0,0,
"2023-06-19",vk,cpc,freemium-frontend,2,5072,0,0,
"2023-06-19",vk,cpp,dod-python-java,4,,0,0,
"2023-06-19",vk,cpp,dod-frontend,1,,0,0,
"2023-06-19",vk,social,dod-professions,1,,0,0,
"2023-06-19",vk,social,general,2,,0,0,
"2023-06-19",vk,social,all-courses,1,,0,0,
"2023-06-19",vk,social,base-java,2,,0,0,
"2023-06-19",vk,social,base-php,1,,0,0,
"2023-06-19",vk,social,base-python,3,,0,0,
"2023-06-19",yandex,cpc,dod-qa,8,,0,0,
"2023-06-19",yandex,cpc,base-frontend,43,,0,0,
"2023-06-19",yandex,cpc,base-java,66,,0,0,
"2023-06-19",yandex,cpc,base-professions-retarget,14,,0,0,
"2023-06-19",yandex,cpc,base-python,60,,0,0,
"2023-06-19",yandex,cpc,dod-frontend,18,,0,0,
"2023-06-19",yandex,cpc,dod-java,6,,0,0,
"2023-06-19",yandex,cpc,dod-php,6,,0,0,
"2023-06-19",yandex,cpc,prof-frontend,135,9850410,0,0,
"2023-06-19",yandex,cpc,prof-python,185,8508150,0,0,
"2023-06-19",yandex,cpc,prof-java,143,5024448,0,0,
"2023-06-19",yandex,cpc,freemium,239,4113668,0,0,
"2023-06-19",yandex,cpc,prof-data-analytics,35,211680,0,0,
"2023-06-19",yandex,cpc,prof-professions-brand,45,139995,0,0,
"2023-06-19",yandex,cpc,dod-professions,6,22098,0,0,
